user_id,gender,credit_score,total_debt,yearly_income,card_id,card_brand,card_type,card_on_dark_web,credit_limit,txn_date,amount,merchant_id,errors
1684,Male,782,$108313,$27861,94,Mastercard,Debit,False,$9263,2010-01-01 01:13:00,$12.67,39021,
989,Male,727,$16524,$113514,2511,Mastercard,Debit,False,$4707,2010-01-01 01:19:00,$580.98,73661,
1519,Female,849,$59472,$40012,2452,Visa,Debit,False,$19037,2010-01-01 01:19:00,$10.34,12399,
1575,Female,724,$127892,$57646,2112,Mastercard,Debit,False,$18138,2010-01-01 01:19:00,$17.14,29232,
986,Male,703,$87837,$48010,4755,Visa,Debit,False,$15094,2010-01-01 01:22:00,$1.85,14528,
1703,Female,747,$65994,$49169,2969,Mastercard,Credit,False,$10600,2010-01-01 01:23:00,$71.72,43293,
430,Female,685,$128676,$53350,5768,Visa,Credit,False,$17700,2010-01-01 01:25:00,$200.00,27092,
1703,Female,747,$65994,$49169,2969,Mastercard,Credit,False,$10600,2010-01-01 01:25:00,$-78.00,43293,
1357,Female,812,$0,$11410,65,Amex,Credit,False,$14600,2010-01-01 01:30:00,$23.08,80797,
1484,Female,726,$2261,$57732,2527,Mastercard,Debit,False,$39533,2010-01-01 01:37:00,$40.00,27092,
1077,Female,576,$10323,$12044,2539,Mastercard,Debit,False,$17034,2010-01-01 01:40:00,$2.43,46284,
1787,Female,689,$51539,$58278,2228,Mastercard,Debit,False,$27590,2010-01-01 01:40:00,$3.77,20519,
247,Female,761,$69070,$54587,4155,Mastercard,Debit,False,$16751,2010-01-01 01:41:00,$3.29,92883,
1087,Female,722,$81716,$30997,1029,Mastercard,Debit,False,$9433,2010-01-01 01:41:00,$62.98,17976,
1575,Female,724,$127892,$57646,224,Mastercard,Debit,False,$23016,2010-01-01 01:46:00,$34.34,16798,
1731,Female,704,$62224,$47242,2797,Mastercard,Debit,False,$16409,2010-01-01 01:47:00,$73.46,18293,
125,Female,724,$93592,$26535,2023,Mastercard,Debit,False,$1326,2010-01-01 01:48:00,$9.16,23462,
989,Male,727,$16524,$113514,4124,Visa,Credit,False,$21600,2010-01-01 01:48:00,$541.29,40475,
63,Male,660,$51741,$35418,60,Visa,Debit,False,$17082,2010-01-01 01:53:00,$30.69,32175,
152,Female,773,$51520,$49335,2848,Visa,Credit,False,$10300,2010-01-01 01:54:00,$177.41,86616,
597,Male,736,$1676,$65055,4540,Visa,Debit,False,$76343,2010-01-01 01:54:00,$14.20,66541,
1449,Male,751,$12054,$28104,241,Mastercard,Debit,False,$11457,2010-01-01 01:54:00,$119.23,87530,
1755,Male,734,$66681,$28269,4228,Visa,Debit,False,$12519,2010-01-01 01:55:00,$10.61,82981,
760,Female,778,$72514,$37558,5876,Amex,Credit,False,$9100,2010-01-01 01:56:00,$52.98,39021,
1642,Female,731,$41938,$40470,4281,Visa,Debit,False,$26730,2010-01-01 01:56:00,$3.35,44625,
1542,Female,731,$34039,$55565,2906,Mastercard,Debit (Prepaid),False,$65,2010-01-01 01:58:00,$39.05,58215,
727,Male,801,$81572,$40522,4295,Mastercard,Debit,False,$19086,2010-01-01 02:00:00,$6.79,72351,
1097,Male,732,$59006,$32343,4690,Visa,Debit,False,$17319,2010-01-01 02:05:00,$100.00,27092,
1453,Female,641,$51593,$36122,1117,Mastercard,Debit,False,$14561,2010-01-01 02:05:00,$196.22,5009,
1024,Male,739,$143069,$65573,1006,Visa,Credit,False,$16100,2010-01-01 02:06:00,$3.83,2177,
858,Male,700,$51428,$30774,13,Mastercard,Credit,False,$14600,2010-01-01 02:07:00,$1.87,81833,
1084,Male,775,$75415,$64262,3454,Visa,Debit,False,$35268,2010-01-01 02:08:00,$6.63,45926,
1622,Female,759,$211919,$79271,2877,Mastercard,Debit,False,$40176,2010-01-01 02:08:00,$8.30,43293,
1787,Female,689,$51539,$58278,2228,Mastercard,Debit,False,$27590,2010-01-01 02:09:00,$2.75,75781,
34,Male,737,$72162,$51854,1166,Mastercard,Debit,False,$10775,2010-01-01 02:11:00,$4.07,49789,
1424,Female,761,$1396,$15348,4710,Mastercard,Credit,False,$8000,2010-01-01 02:12:00,$2.31,95811,
121,Female,721,$124370,$45419,5952,Visa,Debit,False,$18137,2010-01-01 02:13:00,$0.21,61195,
989,Male,727,$16524,$113514,2938,Mastercard,Credit,False,$28000,2010-01-01 02:13:00,$396.03,73661,
1453,Female,641,$51593,$36122,1117,Mastercard,Debit,False,$14561,2010-01-01 02:13:00,$-460.00,5009,
474,Male,683,$161166,$80957,2493,Visa,Credit,False,$16900,2010-01-01 02:14:00,$91.02,35451,
1142,Male,716,$107029,$79272,4674,Mastercard,Debit,False,$43984,2010-01-01 02:15:00,$3.68,59397,
241,Female,737,$16549,$30605,58,Mastercard,Debit,False,$12861,2010-01-01 02:16:00,$38.11,17976,
461,Female,784,$80057,$65403,5482,Mastercard,Debit,False,$28963,2010-01-01 02:17:00,$25.97,45389,
1776,Male,693,$44263,$43133,4938,Amex,Credit,False,$13400,2010-01-01 02:17:00,$66.05,39021,
595,Male,699,$4427,$29041,4667,Mastercard,Debit,False,$16786,2010-01-01 02:22:00,$33.02,71416,
972,Male,681,$101323,$50177,4166,Visa,Debit,False,$2508,2010-01-01 02:22:00,$103.97,18966,
212,Male,797,$88482,$28137,2418,Mastercard,Debit,False,$6795,2010-01-01 02:25:00,$2.33,61195,
1214,Male,711,$133421,$72470,5508,Visa,Debit,False,$21073,2010-01-01 02:25:00,$51.58,98436,
178,Female,727,$0,$49045,4261,Mastercard,Debit,False,$17206,2010-01-01 02:28:00,$57.43,78454,
1077,Female,576,$10323,$12044,4104,Visa,Debit (Prepaid),False,$33,2010-01-01 02:31:00,$2.87,61195,
1155,Female,689,$1196,$29494,5784,Visa,Credit,False,$7100,2010-01-01 02:32:00,$27.63,1903,
1443,Male,732,$54455,$35016,4730,Mastercard,Debit,False,$16392,2010-01-01 02:33:00,$76.76,59288,
387,Male,723,$64749,$45388,4601,Mastercard,Debit (Prepaid),False,$49,2010-01-01 02:35:00,$9.10,75936,
1998,Male,688,$790,$645,2160,Visa,Debit (Prepaid),False,$110,2010-01-01 02:35:00,$0.75,99312,
706,Female,602,$106072,$67589,4284,Amex,Credit,False,$13700,2010-01-01 02:39:00,$160.00,27092,
503,Female,694,$54279,$29564,1088,Mastercard,Debit (Prepaid),False,$39,2010-01-01 02:40:00,$28.21,20561,
714,Female,760,$155191,$73383,2958,Mastercard,Debit (Prepaid),False,$42,2010-01-01 02:40:00,$44.86,1238,
908,Male,650,$106753,$46256,5154,Mastercard,Debit,False,$13123,2010-01-01 02:44:00,$57.73,68751,
758,Male,764,$36832,$43180,2181,Mastercard,Debit,False,$5553,2010-01-01 02:45:00,$6.52,75781,
1411,Female,720,$52218,$69007,1069,Visa,Credit,False,$18200,2010-01-01 02:48:00,$4.04,10455,
140,Female,739,$72801,$42120,152,Mastercard,Debit,False,$13441,2010-01-01 02:51:00,$3.93,61195,
1424,Female,761,$1396,$15348,4710,Mastercard,Credit,False,$8000,2010-01-01 02:51:00,$5.12,95811,
843,Male,822,$38658,$28325,184,Visa,Debit,False,$10495,2010-01-01 02:52:00,$19.15,73365,
895,Female,832,$76538,$31632,217,Visa,Credit,False,$10300,2010-01-01 02:57:00,$58.85,88544,
1313,Male,653,$39959,$30172,4183,Mastercard,Debit (Prepaid),False,$87,2010-01-01 02:57:00,$2.77,61746,
1459,Male,707,$0,$31369,3383,Mastercard,Debit,False,$12708,2010-01-01 02:57:00,$2.75,47756,
474,Male,683,$161166,$80957,2493,Visa,Credit,False,$16900,2010-01-01 02:59:00,$115.37,98648,
1802,Female,802,$102360,$59313,5836,Mastercard,Debit,False,$36920,2010-01-01 03:02:00,$77.70,60569,
702,Female,721,$136853,$71103,4199,Mastercard,Credit,False,$15000,2010-01-01 03:03:00,$120.87,61195,
461,Female,784,$80057,$65403,5482,Mastercard,Debit,False,$28963,2010-01-01 03:06:00,$23.86,45389,
169,Male,686,$93,$30451,3256,Mastercard,Debit,False,$12591,2010-01-01 03:08:00,$11.18,2205,
957,Female,605,$24575,$37789,4532,Mastercard,Debit,False,$27974,2010-01-01 03:08:00,$-147.00,44795,
140,Female,739,$72801,$42120,152,Mastercard,Debit,False,$13441,2010-01-01 03:09:00,$3.92,75936,
843,Male,822,$38658,$28325,184,Visa,Debit,False,$10495,2010-01-01 03:09:00,$27.29,73365,
1921,Male,709,$9833,$32064,1181,Mastercard,Debit (Prepaid),False,$89,2010-01-01 03:11:00,$40.89,59350,
957,Female,605,$24575,$37789,4532,Mastercard,Debit,False,$27974,2010-01-01 03:13:00,$14.21,44795,
1920,Male,713,$51924,$31244,3415,Amex,Credit,False,$8200,2010-01-01 03:16:00,$24.47,35001,
319,Male,628,$10400,$28357,248,Visa,Credit,False,$6800,2010-01-01 03:17:00,$29.60,54850,
613,Female,712,$111495,$56562,1191,Visa,Debit,False,$28320,2010-01-01 03:17:00,$22.77,44919,
121,Female,721,$124370,$45419,5952,Visa,Debit,False,$18137,2010-01-01 03:20:00,$58.47,80770,
1787,Female,689,$51539,$58278,2228,Mastercard,Debit,False,$27590,2010-01-01 03:23:00,$37.09,96712,
609,Male,717,$63386,$37536,2892,Visa,Credit,False,$10600,2010-01-01 03:26:00,$11.44,46284,
1209,Female,699,$4832,$63815,3387,Mastercard,Debit (Prepaid),False,$76,2010-01-01 03:27:00,$4.78,50783,
895,Female,832,$76538,$31632,1116,Mastercard,Debit (Prepaid),False,$49,2010-01-01 03:29:00,$35.23,45188,
819,Female,687,$28449,$37495,3245,Visa,Credit,False,$8400,2010-01-01 03:32:00,$102.27,51664,
1237,Female,717,$47179,$32150,2092,Mastercard,Debit (Prepaid),False,$51,2010-01-01 03:32:00,$3.58,75936,
1538,Male,590,$216,$23572,3206,Mastercard,Debit,False,$21284,2010-01-01 03:32:00,$14.36,98374,
1686,Female,708,$25355,$61312,2617,Visa,Credit,False,$16300,2010-01-01 03:36:00,$176.44,1827,
442,Male,791,$23992,$48600,112,Visa,Debit,False,$40384,2010-01-01 03:49:00,$120.00,27092,
1209,Female,699,$4832,$63815,3387,Mastercard,Debit (Prepaid),False,$76,2010-01-01 03:51:00,$4.39,50783,
618,Male,701,$72318,$27795,3411,Visa,Debit,False,$12496,2010-01-01 03:52:00,$6.72,75781,
1941,Male,740,$27463,$38609,2940,Visa,Debit (Prepaid),False,$30,2010-01-01 03:52:00,$13.79,56241,
241,Female,737,$16549,$30605,3921,Visa,Credit,False,$6900,2010-01-01 03:53:00,$63.50,70766,
377,Female,750,$363,$39110,4602,Mastercard,Debit,False,$32636,2010-01-01 03:56:00,$59.44,55604,
185,Female,779,$71066,$30942,5361,Amex,Credit,False,$6900,2010-01-01 03:57:00,$15.89,39261,
421,Female,790,$58252,$45876,2177,Mastercard,Credit,False,$10600,2010-01-01 04:01:00,$96.63,20561,
1382,Male,706,$44404,$25883,2838,Mastercard,Debit,False,$11415,2010-01-01 04:05:00,$93.13,22014,
1080,Female,703,$46043,$29413,2562,Mastercard,Debit,False,$1470,2010-01-01 04:06:00,$31.50,85304,
1413,Female,685,$33165,$31170,4673,Mastercard,Debit,False,$15562,2010-01-01 04:13:00,$1.62,20519,
585,Male,584,$64715,$41483,5881,Mastercard,Debit,False,$19913,2010-01-01 04:14:00,$20.86,41122,
356,Female,691,$0,$41420,3251,Mastercard,Debit,False,$14100,2010-01-01 04:17:00,$7.71,50404,
1920,Male,713,$51924,$31244,2791,Visa,Debit,False,$20318,2010-01-01 04:17:00,$33.19,35001,
816,Male,759,$67244,$36285,5066,Visa,Debit,False,$13593,2010-01-01 04:18:00,$108.13,98374,
103,Female,850,$78060,$34774,5113,Mastercard,Credit,False,$8500,2010-01-01 04:21:00,$166.34,56276,
1635,Male,616,$75213,$42332,115,Visa,Debit,False,$24876,2010-01-01 04:21:00,$14.50,45501,
1313,Male,653,$39959,$30172,4183,Mastercard,Debit (Prepaid),False,$87,2010-01-01 04:22:00,$3.36,98374,
20,Female,757,$0,$23371,3857,Mastercard,Debit,False,$15771,2010-01-01 04:25:00,$2.56,59397,
1736,Male,695,$94014,$45789,113,Visa,Debit,False,$23631,2010-01-01 04:27:00,$55.79,24823,
1812,Female,574,$76898,$50978,2531,Mastercard,Debit,False,$33557,2010-01-01 04:28:00,$174.06,68671,
1905,Male,808,$6087,$28489,5807,Mastercard,Debit,False,$1424,2010-01-01 04:30:00,$54.98,73186,
526,Female,627,$114394,$64481,5917,Visa,Debit,False,$23001,2010-01-01 04:31:00,$22.23,16798,
1378,Female,614,$65643,$40810,2921,Amex,Credit,False,$10100,2010-01-01 04:31:00,$60.00,27092,
100,Male,813,$79960,$48944,5903,Mastercard,Debit,False,$21205,2010-01-01 04:38:00,$60.09,20916,
839,Female,622,$69717,$54384,4725,Mastercard,Debit,False,$37192,2010-01-01 04:38:00,$74.76,32175,
1629,Female,598,$58679,$29422,4290,Mastercard,Debit,False,$18776,2010-01-01 04:39:00,$29.93,95377,
1807,Female,828,$98613,$52065,2823,Amex,Credit,False,$13200,2010-01-01 04:44:00,$119.42,84708,
1718,Female,698,$196,$33483,4706,Mastercard,Debit,False,$16055,2010-01-01 04:45:00,$46.21,15143,
1629,Female,598,$58679,$29422,4290,Mastercard,Debit,False,$18776,2010-01-01 04:49:00,$26.38,39021,
1880,Male,771,$52419,$31579,2014,Mastercard,Debit,False,$14719,2010-01-01 04:49:00,$67.09,40475,
1563,Female,683,$62461,$22583,5125,Mastercard,Debit,False,$1129,2010-01-01 04:51:00,$1.14,14528,
1728,Female,601,$74337,$38615,153,Mastercard,Debit,False,$1930,2010-01-01 04:52:00,$69.85,49286,
33,Female,596,$8902,$38692,2404,Mastercard,Debit,False,$4589,2010-01-01 04:54:00,$8.73,50783,
464,Male,850,$93513,$67444,3233,Amex,Credit,False,$18000,2010-01-01 04:54:00,$104.40,32175,
464,Male,850,$93513,$67444,3233,Amex,Credit,False,$18000,2010-01-01 04:56:00,$104.10,32175,Technical Glitch
984,Female,850,$80794,$32928,2796,Visa,Debit,False,$14217,2010-01-01 04:58:00,$79.70,60569,
1148,Male,687,$47490,$36711,5804,Amex,Credit,False,$9300,2010-01-01 04:58:00,$2.68,59935,
1540,Female,625,$63194,$44839,5562,Mastercard,Debit (Prepaid),False,$56,2010-01-01 05:04:00,$46.05,39021,
1102,Female,707,$0,$94733,2822,Amex,Credit,False,$26900,2010-01-01 05:05:00,$185.60,80770,
1378,Female,614,$65643,$40810,4227,Visa,Debit,False,$15925,2010-01-01 05:09:00,$60.00,27092,
630,Male,491,$61861,$39521,2059,Mastercard,Debit,False,$7546,2010-01-01 05:10:00,$60.00,27092,
1455,Male,713,$15223,$34330,2960,Mastercard,Debit,False,$427,2010-01-01 05:10:00,$11.78,76199,
1445,Male,841,$11243,$27939,3722,Visa,Credit,False,$12800,2010-01-01 05:12:00,$4.43,39021,
1964,Male,643,$30595,$38637,2508,Mastercard,Credit,False,$9600,2010-01-01 05:12:00,$18.24,715,
847,Female,591,$1371,$27864,4531,Mastercard,Credit,False,$3400,2010-01-01 05:15:00,$140.00,27092,
1098,Male,752,$54634,$34456,4626,Visa,Debit,False,$12640,2010-01-01 05:15:00,$6.76,50867,
1541,Female,681,$127116,$37422,228,Mastercard,Debit,False,$12157,2010-01-01 05:16:00,$4.22,61806,
595,Male,699,$4427,$29041,4666,Mastercard,Debit,False,$14408,2010-01-01 05:19:00,$67.25,94050,
1356,Male,733,$1370,$26676,4752,Visa,Credit,False,$8100,2010-01-01 05:20:00,$48.76,76639,
641,Male,735,$0,$37556,14,Mastercard,Debit,False,$24819,2010-01-01 05:24:00,$8.84,41943,
961,Male,721,$28332,$26660,4584,Visa,Credit,False,$18300,2010-01-01 05:26:00,$36.53,42465,
1034,Female,698,$76181,$55569,4622,Visa,Debit (Prepaid),False,$60,2010-01-01 05:30:00,$41.30,17976,
503,Female,694,$54279,$29564,1088,Mastercard,Debit (Prepaid),False,$39,2010-01-01 05:33:00,$16.71,32175,
1759,Female,778,$1642,$33279,4232,Visa,Debit,False,$18365,2010-01-01 05:36:00,$3.03,23481,
470,Male,747,$94214,$28553,5097,Visa,Credit,False,$5800,2010-01-01 05:38:00,$6.83,22938,
1696,Female,606,$85160,$53702,2408,Mastercard,Debit,False,$12047,2010-01-01 05:38:00,$4.02,35451,
1769,Male,661,$8332,$46031,43,Visa,Credit,False,$9700,2010-01-01 05:38:00,$0.18,86438,
303,Male,690,$1807,$60080,4194,Amex,Credit,False,$20000,2010-01-01 05:40:00,$80.00,27092,
550,Male,763,$35766,$30248,163,Mastercard,Credit,False,$4200,2010-01-01 05:40:00,$1.98,50783,
1676,Male,681,$88447,$50936,134,Mastercard,Debit,False,$17360,2010-01-01 05:41:00,$66.98,21189,
185,Female,779,$71066,$30942,5361,Amex,Credit,False,$6900,2010-01-01 05:43:00,$2.91,25705,
810,Female,705,$16946,$22540,4309,Visa,Credit,False,$6900,2010-01-01 05:43:00,$16.16,2124,
1540,Female,625,$63194,$44839,3763,Mastercard,Debit,False,$3836,2010-01-01 05:43:00,$46.01,39021,
1513,Male,733,$206000,$65736,2965,Mastercard,Credit,False,$27200,2010-01-01 05:46:00,$1.00,86438,
1776,Male,693,$44263,$43133,4938,Amex,Credit,False,$13400,2010-01-01 05:46:00,$11.91,73840,
52,Female,730,$82173,$63796,4976,Visa,Debit,False,$20930,2010-01-01 05:48:00,$115.82,26810,
246,Female,791,$0,$82298,1158,Visa,Debit,False,$40350,2010-01-01 05:48:00,$34.46,53187,
737,Female,758,$16552,$30359,148,Visa,Debit,False,$6789,2010-01-01 05:49:00,$1.40,88374,
1487,Female,727,$76261,$80464,5978,Visa,Debit,False,$26083,2010-01-01 05:51:00,$91.13,20884,
1516,Male,755,$35669,$68827,1002,Mastercard,Debit,False,$47153,2010-01-01 05:51:00,$16.67,69956,
822,Female,793,$22641,$34540,5385,Mastercard,Credit,False,$8000,2010-01-01 05:52:00,$10.45,50292,
1516,Male,755,$35669,$68827,1002,Mastercard,Debit,False,$47153,2010-01-01 05:53:00,$1.88,19252,
11,Female,714,$0,$67643,243,Visa,Debit,False,$17208,2010-01-01 05:55:00,$262.47,16041,
190,Male,711,$12409,$44452,4621,Visa,Debit (Prepaid),False,$41,2010-01-01 05:55:00,$3.40,23098,
530,Male,682,$0,$18100,3344,Mastercard,Debit,False,$15061,2010-01-01 05:56:00,$2.98,88646,
1840,Female,706,$103229,$44249,3322,Mastercard,Debit,False,$21701,2010-01-01 05:56:00,$10.79,27156,
28,Female,789,$110237,$54273,2568,Mastercard,Debit,False,$29717,2010-01-01 05:57:00,$300.48,23008,
327,Male,772,$52248,$36843,5512,Visa,Debit,False,$11528,2010-01-01 05:57:00,$61.86,39021,
1826,Female,654,$33926,$16628,5779,Mastercard,Debit (Prepaid),False,$49,2010-01-01 05:57:00,$3.29,43293,
1381,Male,690,$2470,$29517,3738,Mastercard,Debit,False,$22964,2010-01-01 05:59:00,$9.84,11264,
1080,Female,703,$46043,$29413,2562,Mastercard,Debit,False,$1470,2010-01-01 06:00:00,$43.13,11468,
1209,Female,699,$4832,$63815,4573,Amex,Credit,False,$19400,2010-01-01 06:00:00,$3.41,89738,
592,Male,714,$2573,$23993,4133,Mastercard,Credit,False,$5600,2010-01-01 06:01:00,$12.81,39021,
628,Male,815,$75999,$107075,2579,Mastercard,Debit (Prepaid),False,$76,2010-01-01 06:01:00,$95.00,59935,
760,Female,778,$72514,$37558,5876,Amex,Credit,False,$9100,2010-01-01 06:01:00,$2.12,75781,
848,Male,711,$96182,$68362,3915,Visa,Debit,False,$19113,2010-01-01 06:01:00,$60.37,83743,
1248,Female,698,$2192,$43386,5787,Amex,Credit,False,$9600,2010-01-01 06:01:00,$41.95,40475,
1382,Male,706,$44404,$25883,1110,Mastercard,Debit (Prepaid),False,$54,2010-01-01 06:01:00,$36.92,63909,
38,Female,621,$72794,$40006,2526,Mastercard,Debit,False,$3711,2010-01-01 06:02:00,$14.67,50404,
847,Female,591,$1371,$27864,4531,Mastercard,Credit,False,$3400,2010-01-01 06:02:00,$100.00,27092,
1529,Male,692,$112785,$76305,4985,Mastercard,Debit,False,$31362,2010-01-01 06:02:00,$3.98,23492,
511,Male,661,$55369,$35602,974,Mastercard,Debit (Prepaid),False,$73,2010-01-01 06:03:00,$3.33,20519,
763,Male,642,$130160,$103126,4993,Visa,Credit,False,$24300,2010-01-01 06:03:00,$33.64,3316,
1242,Female,641,$56953,$30509,5102,Visa,Credit,False,$7400,2010-01-01 06:03:00,$78.05,32175,
1696,Female,606,$85160,$53702,2408,Mastercard,Debit,False,$12047,2010-01-01 06:03:00,$9.68,39021,
1675,Male,767,$52978,$49993,4692,Visa,Debit,False,$20074,2010-01-01 06:04:00,$64.39,43293,
1786,Female,755,$93255,$38611,1000,Mastercard,Debit,False,$8273,2010-01-01 06:05:00,$8.73,50867,
211,Male,755,$36482,$28983,3739,Mastercard,Debit,False,$12757,2010-01-01 06:06:00,$2.13,22484,
997,Female,675,$105623,$54963,5046,Discover,Credit,False,$11200,2010-01-01 06:06:00,$35.90,83070,
112,Female,686,$24637,$35114,1134,Amex,Credit,False,$8900,2010-01-01 06:07:00,$23.61,39021,
425,Male,688,$130605,$59482,5149,Mastercard,Debit,False,$30366,2010-01-01 06:07:00,$2.72,88374,
759,Male,687,$37427,$74550,3716,Mastercard,Debit,False,$23154,2010-01-01 06:07:00,$66.00,59935,
996,Female,738,$107765,$40194,1107,Mastercard,Credit,False,$4200,2010-01-01 06:07:00,$1.54,12547,
1741,Male,707,$889,$24960,1097,Visa,Credit,False,$7300,2010-01-01 06:07:00,$10.02,50856,
890,Female,727,$26792,$52181,5799,Visa,Credit,False,$16500,2010-01-01 06:08:00,$4.04,35433,
1381,Male,690,$2470,$29517,3738,Mastercard,Debit,False,$22964,2010-01-01 06:08:00,$5.41,11264,
1692,Female,542,$5642,$162709,5371,Mastercard,Debit,False,$38048,2010-01-01 06:08:00,$42.28,39021,
152,Female,773,$51520,$49335,2848,Visa,Credit,False,$10300,2010-01-01 06:09:00,$113.09,71667,
980,Male,733,$0,$24055,5052,Mastercard,Debit,False,$14185,2010-01-01 06:09:00,$1.33,59935,
1150,Male,791,$93406,$63030,4672,Mastercard,Debit,False,$29486,2010-01-01 06:09:00,$7.09,19464,
1445,Male,841,$11243,$27939,2899,Mastercard,Debit,False,$11641,2010-01-01 06:09:00,$2.38,53402,
89,Male,705,$23394,$30217,2998,Mastercard,Debit,False,$10863,2010-01-01 06:10:00,$6.89,44678,
135,Female,691,$51679,$38088,2808,Mastercard,Debit,False,$2236,2010-01-01 06:10:00,$189.29,90999,
357,Female,735,$61817,$80156,5481,Discover,Credit,False,$19800,2010-01-01 06:10:00,$140.00,27092,
657,Female,705,$533,$33897,4662,Mastercard,Debit,False,$24186,2010-01-01 06:10:00,$144.68,93195,
